Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff
986 SRDR_X_11-12 ,146,144,145,145.5,0.5,1.5,0.5
1018 SRDR_F_12-15 ,128,129,128,128.0,0.0,1.0,0.0
936 SRDR_F_9-10 ,128,126,124,127.0,1.0,1.0,3.0
927 SRDR_M_8 and under ,76,77,77,77.0,1.0,0.0,0.0
1001 SRDR_F_12-15 ,151,150,151,151.0,0.0,1.0,0.0
1044 SRDR_F_16-18 ,164,163,164,164.0,0.0,1.0,0.0
974 SRDR_F_11-12 ,73,74,74,74.0,1.0,0.0,0.0
938 SRDR_F_9-10 ,75,79,73,74.0,1.0,5.0,1.0
1036 SRDR_M_12-15 ,147,146,147,147.0,0.0,1.0,0.0

Station: 4954 speed scores and cummulative difference from calculated score
Entry,4954-1,4954-2,4954-3,Calc'd Score,4954-1 Diff,4954-2 Diff,4954-3 Diff
931 SRDR_F_9-10 ,113,111,112,112.5,0.5,1.5,0.5
972 SRDR_F_11-12 ,134,132,133,133.5,0.5,1.5,0.5
950 SRDR_X_9-10 ,96,97,98,97.5,1.5,0.5,0.5
1069 SRDR_F_30+ ,132,131,135,131.5,0.5,0.5,3.5
1025 SRDR_F_12-15 ,119,118,118,118.0,1.0,0.0,0.0
920 SRDR_F_8 and under ,74,70,75,74.5,0.5,4.5,0.5
1062 SRDR_F_19+ ,150,150,153,150.0,0.0,0.0,3.0
1027 SRDR_X_12-15 ,122,123,123,123.0,1.0,0.0,0.0
965 SRDR_F_11-12 ,81,82,81,81.0,0.0,1.0,0.0
942 SRDR_F_9-10 ,135,134,133,134.5,0.5,0.5,1.5
1043 SRDR_F_16-18 ,113,108,111,112.0,1.0,4.0,1.0
1046 SRDR_F_16-18 ,144,144,143,144.0,0.0,0.0,1.0
964 SRDR_F_11-12 ,112,110,110,110.0,2.0,0.0,0.0
