Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff

Event: SRSE_M_17-29
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4946,876,372,371,376,371.5,0.5,0.5,4.5
4947,875,402,402,407,402.0,0.0,0.0,5.0
4948,874,429,429,429,429.0,0.0,0.0,0.0

Event: SRSE_F_11 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4940,332,330,331,341,330.5,0.5,0.5,10.5
4940,336,271,270,275,270.5,0.5,0.5,4.5
4940,323,370,368,371,370.5,0.5,2.5,0.5
4940,338,222,223,221,222.5,0.5,0.5,1.5
4941,308,305,303,304,304.5,0.5,1.5,0.5
4941,329,369,371,369,369.0,0.0,2.0,0.0
4941,325,335,342,334,334.5,0.5,7.5,0.5
4941,335,294,296,294,294.0,0.0,2.0,0.0
4942,317,324,0,324,324.0,0.0,324.0,0.0
4942,324,330,329,332,329.5,0.5,0.5,2.5
4942,318,293,289,291,292.0,1.0,3.0,1.0
4942,316,271,270,270,270.0,1.0,0.0,0.0
4943,337,273,275,274,274.5,1.5,0.5,0.5
4943,314,288,286,290,289.0,1.0,3.0,1.0
4943,331,319,318,321,318.5,0.5,0.5,2.5
4943,322,345,346,344,345.5,0.5,0.5,1.5
4944,315,297,297,298,297.0,0.0,0.0,1.0
4944,319,275,275,274,275.0,0.0,0.0,1.0
4944,326,353,353,351,353.0,0.0,0.0,2.0
4945,344,270,271,269,270.5,0.5,0.5,1.5
4945,328,306,305,306,306.0,0.0,1.0,0.0
4946,339,327,328,323,327.5,0.5,0.5,4.5
4946,313,209,214,209,209.0,0.0,5.0,0.0
4946,343,233,233,234,233.0,0.0,0.0,1.0
4947,334,343,343,347,343.0,0.0,0.0,4.0
4947,309,334,334,335,334.0,0.0,0.0,1.0
4947,312,346,343,343,343.0,3.0,0.0,0.0
4947,320,310,309,308,309.5,0.5,0.5,1.5
4948,333,345,343,351,344.0,1.0,1.0,7.0
4948,310,260,263,265,264.0,4.0,1.0,1.0
4948,340,284,283,284,284.0,0.0,1.0,0.0
4948,342,273,273,280,273.0,0.0,0.0,7.0
4949,341,278,281,275,279.5,1.5,1.5,4.5
4949,311,332,332,331,332.0,0.0,0.0,1.0
4949,321,384,385,384,384.0,0.0,1.0,0.0
4949,327,324,324,324,324.0,0.0,0.0,0.0

Event: SRSE_F_13 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4940,382,305,304,306,305.5,0.5,1.5,0.5
4940,400,306,307,307,307.0,1.0,0.0,0.0
4940,396,339,339,339,339.0,0.0,0.0,0.0
4941,387,398,398,398,398.0,0.0,0.0,0.0
4941,401,234,235,233,234.5,0.5,0.5,1.5
4941,392,394,394,394,394.0,0.0,0.0,0.0
4942,389,369,369,369,369.0,0.0,0.0,0.0
4942,405,316,316,317,316.0,0.0,0.0,1.0
4942,402,339,339,339,339.0,0.0,0.0,0.0
4943,390,398,399,404,398.5,0.5,0.5,5.5
4943,403,302,293,304,303.0,1.0,10.0,1.0
4944,406,329,328,321,328.5,0.5,0.5,7.5
4944,381,303,300,302,302.5,0.5,2.5,0.5
4945,383,279,280,278,279.5,0.5,0.5,1.5
4945,391,292,290,292,292.0,0.0,2.0,0.0
4945,399,387,387,387,387.0,0.0,0.0,0.0
4946,397,399,394,397,398.0,1.0,4.0,1.0
4946,386,379,379,384,379.0,0.0,0.0,5.0
4946,394,386,386,389,386.0,0.0,0.0,3.0
4947,404,268,267,274,267.5,0.5,0.5,6.5
4947,388,241,237,241,241.0,0.0,4.0,0.0
4948,393,335,335,338,335.0,0.0,0.0,3.0
4948,395,330,330,328,330.0,0.0,0.0,2.0
4948,379,383,383,385,383.0,0.0,0.0,2.0
4949,384,308,308,308,308.0,0.0,0.0,0.0
4949,398,293,292,292,292.0,1.0,0.0,0.0
4949,380,381,381,380,381.0,0.0,0.0,1.0

Event: SRSE_M_11 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4940,765,370,370,371,370.0,0.0,0.0,1.0
4941,762,269,269,233,269.0,0.0,0.0,36.0
4942,766,347,343,347,347.0,0.0,4.0,0.0
4943,764,292,287,294,293.0,1.0,6.0,1.0
4943,761,279,279,279,279.0,0.0,0.0,0.0
4944,755,288,288,284,288.0,0.0,0.0,4.0
4945,758,272,270,270,270.0,2.0,0.0,0.0
4945,763,339,338,339,339.0,0.0,1.0,0.0
4946,760,255,250,252,251.0,4.0,1.0,1.0
4947,759,302,303,302,302.0,0.0,1.0,0.0
4948,757,302,305,304,304.5,2.5,0.5,0.5
4949,756,330,330,329,330.0,0.0,0.0,1.0

Event: SRDR_M_9-10
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4952,956,122,122,120,122.0,0.0,0.0,2.0
4953,954,143,142,143,143.0,0.0,1.0,0.0
4958,953,114,116,114,114.0,0.0,2.0,0.0
4959,958,109,114,110,109.5,0.5,4.5,0.5
4960,957,133,132,131,132.5,0.5,0.5,1.5

Event: SRDR_F_9-10
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4951,939,105,105,105,105.0,0.0,0.0,0.0
4951,935,79,79,79,79.0,0.0,0.0,0.0
4952,943,135,133,136,135.5,0.5,2.5,0.5
4952,932,105,103,107,106.0,1.0,3.0,1.0
4953,945,117,117,116,117.0,0.0,0.0,1.0
4953,921,51,54,53,53.5,2.5,0.5,0.5
4953,929,147,146,145,146.5,0.5,0.5,1.5
4954,931,113,111,112,112.5,0.5,1.5,0.5
4954,942,135,134,133,134.5,0.5,0.5,1.5
4955,937,131,131,132,131.0,0.0,0.0,1.0
4955,944,93,91,93,93.0,0.0,2.0,0.0
4956,941,115,117,115,115.0,0.0,2.0,0.0
4956,930,126,129,127,126.5,0.5,2.5,0.5
4957,940,142,141,143,142.5,0.5,1.5,0.5
4958,946,74,72,72,72.0,2.0,0.0,0.0
4959,933,112,115,112,112.0,0.0,3.0,0.0
4960,936,128,126,124,127.0,1.0,1.0,3.0
4960,938,75,79,73,74.0,1.0,5.0,1.0

Event: SRDR_F_8 and under
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4951,917,111,110,111,111.0,0.0,1.0,0.0
4952,1797,77,77,77,77.0,0.0,0.0,0.0
4954,920,74,70,75,74.5,0.5,4.5,0.5
4955,918,96,95,95,95.0,1.0,0.0,0.0
4960,919,121,121,120,121.0,0.0,0.0,1.0

Event: SRDR_F_11-12
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4951,979,102,101,101,101.0,1.0,0.0,0.0
4951,975,123,122,123,123.0,0.0,1.0,0.0
4951,982,119,119,117,119.0,0.0,0.0,2.0
4952,973,138,139,139,139.0,1.0,0.0,0.0
4952,962,143,143,142,143.0,0.0,0.0,1.0
4952,970,134,135,135,135.0,1.0,0.0,0.0
4953,959,113,111,112,112.5,0.5,1.5,0.5
4953,960,128,128,125,128.0,0.0,0.0,3.0
4953,961,131,130,129,130.5,0.5,0.5,1.5
4954,972,134,132,133,133.5,0.5,1.5,0.5
4954,965,81,82,81,81.0,0.0,1.0,0.0
4954,964,112,110,110,110.0,2.0,0.0,0.0
4955,980,88,91,90,90.5,2.5,0.5,0.5
4955,968,74,80,80,80.0,6.0,0.0,0.0
4955,971,131,131,131,131.0,0.0,0.0,0.0
4956,967,118,119,120,119.5,1.5,0.5,0.5
4956,984,116,116,116,116.0,0.0,0.0,0.0
4957,976,136,136,135,136.0,0.0,0.0,1.0
4957,983,116,118,121,117.0,1.0,1.0,4.0
4958,981,121,121,120,121.0,0.0,0.0,1.0
4958,978,125,125,124,125.0,0.0,0.0,1.0
4959,969,139,136,139,139.0,0.0,3.0,0.0
4959,985,67,80,68,67.5,0.5,12.5,0.5
4960,966,118,118,117,118.0,0.0,0.0,1.0
4960,963,132,131,132,132.0,0.0,1.0,0.0
4960,974,73,74,74,74.0,1.0,0.0,0.0

Event: SRSS_F_13 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,147,79,79,80,79.0,0.0,0.0,1.0
4992,130,46,44,45,45.5,0.5,1.5,0.5
4992,139,64,64,64,64.0,0.0,0.0,0.0
4993,129,68,68,67,68.0,0.0,0.0,1.0
4993,152,52,51,51,51.0,1.0,0.0,0.0
4993,128,84,84,84,84.0,0.0,0.0,0.0
4994,144,71,70,71,71.0,0.0,1.0,0.0
4994,136,54,53,55,54.5,0.5,1.5,0.5
4995,146,58,60,59,59.5,1.5,0.5,0.5
4995,143,71,71,72,71.0,0.0,0.0,1.0
4996,131,64,64,68,64.0,0.0,0.0,4.0
4996,150,73,74,73,73.0,0.0,1.0,0.0
4996,134,78,78,79,78.0,0.0,0.0,1.0
4997,154,63,63,62,63.0,0.0,0.0,1.0
4997,138,80,81,81,81.0,1.0,0.0,0.0
4997,151,57,57,57,57.0,0.0,0.0,0.0
4998,148,62,61,62,62.0,0.0,1.0,0.0
4998,141,71,72,71,71.0,0.0,1.0,0.0
4998,140,57,58,65,57.5,0.5,0.5,7.5
4999,153,70,70,70,70.0,0.0,0.0,0.0
4999,132,67,67,67,67.0,0.0,0.0,0.0
4999,133,66,66,66,66.0,0.0,0.0,0.0
5000,142,81,81,81,81.0,0.0,0.0,0.0
5000,145,56,59,49,57.5,1.5,1.5,8.5
5000,149,48,51,49,48.5,0.5,2.5,0.5
5000,124,48,52,46,47.0,1.0,5.0,1.0
5001,135,62,60,60,60.0,2.0,0.0,0.0
5001,127,87,87,87,87.0,0.0,0.0,0.0
5001,137,70,70,70,70.0,0.0,0.0,0.0

Event: SRSS_F_11 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,59,60,60,61,60.0,0.0,0.0,1.0
4992,89,55,55,53,55.0,0.0,0.0,2.0
4992,73,68,68,69,68.0,0.0,0.0,1.0
4993,87,60,65,64,64.5,4.5,0.5,0.5
4993,68,62,61,58,61.5,0.5,0.5,3.5
4993,69,55,55,55,55.0,0.0,0.0,0.0
4994,88,62,63,66,62.5,0.5,0.5,3.5
4994,78,73,73,73,73.0,0.0,0.0,0.0
4994,85,56,56,56,56.0,0.0,0.0,0.0
4994,79,64,63,64,64.0,0.0,1.0,0.0
4995,66,69,68,71,68.5,0.5,0.5,2.5
4995,74,60,60,62,60.0,0.0,0.0,2.0
4995,84,53,52,53,53.0,0.0,1.0,0.0
4995,91,44,44,45,44.0,0.0,0.0,1.0
4996,81,61,60,61,61.0,0.0,1.0,0.0
4996,61,79,79,79,79.0,0.0,0.0,0.0
4996,63,55,52,55,55.0,0.0,3.0,0.0
4996,82,67,66,69,66.5,0.5,0.5,2.5
4997,75,60,61,60,60.0,0.0,1.0,0.0
4997,92,32,32,29,32.0,0.0,0.0,3.0
4997,64,68,68,68,68.0,0.0,0.0,0.0
4997,77,69,69,70,69.0,0.0,0.0,1.0
4998,71,75,75,75,75.0,0.0,0.0,0.0
4998,65,52,53,52,52.0,0.0,1.0,0.0
4998,60,66,66,65,66.0,0.0,0.0,1.0
4998,57,52,52,53,52.0,0.0,0.0,1.0
4999,80,72,72,72,72.0,0.0,0.0,0.0
4999,62,57,59,58,58.5,1.5,0.5,0.5
4999,83,61,61,61,61.0,0.0,0.0,0.0
5000,76,70,69,70,70.0,0.0,1.0,0.0
5000,70,66,67,65,66.5,0.5,0.5,1.5
5000,67,61,62,60,61.5,0.5,0.5,1.5
5000,86,49,48,49,49.0,0.0,1.0,0.0
5001,72,78,78,78,78.0,0.0,0.0,0.0
5001,58,68,68,68,68.0,0.0,0.0,0.0
5001,90,57,57,56,57.0,0.0,0.0,1.0

Event: SRSE60_F_9 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
5002,278,119,119,119,119.0,0.0,0.0,0.0
5002,282,93,93,93,93.0,0.0,0.0,0.0
5003,281,111,111,113,111.0,0.0,0.0,2.0
5004,272,117,119,117,117.0,0.0,2.0,0.0
5005,271,75,74,75,75.0,0.0,1.0,0.0
5005,283,119,122,122,122.0,3.0,0.0,0.0
5006,280,124,122,122,122.0,2.0,0.0,0.0
5006,275,72,69,72,72.0,0.0,3.0,0.0
5007,267,132,132,134,132.0,0.0,0.0,2.0
5007,268,100,100,100,100.0,0.0,0.0,0.0
5008,284,93,91,90,90.5,2.5,0.5,0.5
5008,276,101,101,101,101.0,0.0,0.0,0.0
5009,274,136,136,136,136.0,0.0,0.0,0.0
5009,279,120,119,119,119.0,1.0,0.0,0.0
5010,277,125,124,123,124.5,0.5,0.5,1.5
5010,269,141,141,141,141.0,0.0,0.0,0.0
5011,273,85,85,85,85.0,0.0,0.0,0.0
5011,270,132,132,132,132.0,0.0,0.0,0.0

Event: SRSR_M_9-10
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
5043,1241,276,264,275,275.5,0.5,11.5,0.5
5044,1243,227,228,229,228.5,1.5,0.5,0.5
5045,1242,220,219,218,219.5,0.5,0.5,1.5

Event: DDSR_F_11-12
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
5022,1450,154,154,154,154.0,0.0,0.0,0.0
5023,1451,119,120,116,119.5,0.5,0.5,3.5
5024,1448,68,68,68,68.0,0.0,0.0,0.0
5025,1453,85,84,83,84.5,0.5,0.5,1.5
5026,1449,155,156,156,156.0,1.0,0.0,0.0
5027,1447,216,217,216,216.0,0.0,1.0,0.0
5028,1452,134,133,130,133.5,0.5,0.5,3.5

Event: DDSR_F_16+ (allow younger)
StationID,Entry,1,2,3,4,Calc'd Score,1 Diff,2 Diff,3 Diff,4 Diff
5022,1484,198,197,196,197.5,0.5,0.5,1.5
5024,1487,65,63,65,65.0,0.0,2.0,0.0
5025,1480,326,324,328,327.0,1.0,3.0,1.0
5026,1483,361,361,361,361.0,0.0,0.0,0.0
5027,1481,363,364,364,364.0,1.0,0.0,0.0
5027,1486,256,257,257,257.0,1.0,0.0,0.0
5028,1479,295,296,294,295.5,0.5,0.5,1.5
5029,1482,274,272,287,273.0,1.0,1.0,14.0
5030,1485,234,233,234,234.0,0.0,1.0,0.0
5031,1495,177,179,176,176.5,0.5,2.5,0.5
5107,1892,378,378,378,378,378.0,0.0,0.0,0.0,0.0
5108,1893,373,373,371,373,373.0,0.0,0.0,2.0,0.0
5109,1894,364,364,365,364,364.0,0.0,0.0,1.0,0.0
5110,1937,271,271,270,270,270.5,0.5,0.5,0.5,0.5
5111,1896,291,291,289,291,291.0,0.0,0.0,2.0,0.0
5112,1897,280,280,280,280,280.0,0.0,0.0,0.0,0.0

Event: SRTU_F_15+ (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
5116,896,250,250,250,250.0,0.0,0.0,0.0
5117,893,65,65,65,65.0,0.0,0.0,0.0
5118,894,57,57,57,57.0,0.0,0.0,0.0
5119,892,26,26,26,26.0,0.0,0.0,0.0
5120,895,88,88,88,88.0,0.0,0.0,0.0
5121,897,109,109,109,109.0,0.0,0.0,0.0

Event: SRSE_F_15 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4941,429,352,355,355,355.0,3.0,0.0,0.0
4942,436,414,414,414,414.0,0.0,0.0,0.0
4943,424,401,402,401,401.0,0.0,1.0,0.0
4943,432,416,417,417,417.0,1.0,0.0,0.0
4944,423,365,365,365,365.0,0.0,0.0,0.0
4944,433,391,392,378,391.5,0.5,0.5,13.5
4945,428,391,391,389,391.0,0.0,0.0,2.0
4945,426,312,314,317,313.0,1.0,1.0,4.0
4946,431,361,359,361,361.0,0.0,2.0,0.0
4946,425,425,424,429,424.5,0.5,0.5,4.5
4947,435,339,336,339,339.0,0.0,3.0,0.0
4947,427,281,280,282,281.5,0.5,1.5,0.5
4948,430,387,386,381,386.5,0.5,0.5,5.5
4949,434,337,336,334,336.5,0.5,0.5,2.5

Event: SRSE_F_20-29
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4941,481,387,387,387,387.0,0.0,0.0,0.0
4942,473,461,462,461,461.0,0.0,1.0,0.0
4945,477,354,346,354,354.0,0.0,8.0,0.0
4948,475,448,448,446,448.0,0.0,0.0,2.0
4949,479,464,464,463,464.0,0.0,0.0,1.0

Event: SRSE_F_17 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4940,457,315,314,315,315.0,0.0,1.0,0.0
4940,455,411,411,411,411.0,0.0,0.0,0.0
4941,452,444,444,444,444.0,0.0,0.0,0.0
4941,449,340,340,337,340.0,0.0,0.0,3.0
4942,446,399,398,399,399.0,0.0,1.0,0.0
4942,448,276,276,276,276.0,0.0,0.0,0.0
4943,450,382,383,382,382.0,0.0,1.0,0.0
4944,453,425,425,402,425.0,0.0,0.0,23.0
4945,445,404,404,404,404.0,0.0,0.0,0.0
4946,454,364,365,371,364.5,0.5,0.5,6.5
4947,458,275,274,285,274.5,0.5,0.5,10.5
4948,447,438,438,442,438.0,0.0,0.0,4.0
4949,451,381,380,380,380.0,1.0,0.0,0.0
4949,456,255,255,254,255.0,0.0,0.0,1.0

Event: SRSE_M_12 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4940,768,261,263,264,263.5,2.5,0.5,0.5
4944,771,346,347,341,346.5,0.5,0.5,5.5
4945,769,377,380,378,377.5,0.5,2.5,0.5
4946,770,0,410,413,411.5,411.5,1.5,1.5
4947,773,335,335,335,335.0,0.0,0.0,0.0
4948,767,276,271,278,277.0,1.0,6.0,1.0
4949,772,265,266,265,265.0,0.0,1.0,0.0

Event: SRSS_M_10 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4930,663,52,50,50,50.0,2.0,0.0,0.0
4931,669,59,59,60,59.0,0.0,0.0,1.0
4932,665,55,55,49,55.0,0.0,0.0,6.0
4933,667,69,69,69,69.0,0.0,0.0,0.0
4934,668,60,60,59,60.0,0.0,0.0,1.0
4935,664,59,58,59,59.0,0.0,1.0,0.0
4936,666,64,63,64,64.0,0.0,1.0,0.0
4937,671,60,60,59,60.0,0.0,0.0,1.0
4938,662,73,73,73,73.0,0.0,0.0,0.0

Event: SRDR_M_30+
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4956,1077,73,73,73,73.0,0.0,0.0,0.0
4957,1076,14,14,14,14.0,0.0,0.0,0.0

Event: SRDR_M_12-15
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4951,1040,86,86,86,86.0,0.0,0.0,0.0
4952,1039,126,124,126,126.0,0.0,2.0,0.0
4956,1037,102,106,102,102.0,0.0,4.0,0.0
4957,1038,121,121,122,121.0,0.0,0.0,1.0
4958,1034,122,122,121,122.0,0.0,0.0,1.0
4959,1035,126,127,125,126.5,0.5,0.5,1.5
4960,1036,147,146,147,147.0,0.0,1.0,0.0

Event: SRDR_X_16-18
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4951,1056,145,145,144,145.0,0.0,0.0,1.0
4956,1055,133,134,134,134.0,1.0,0.0,0.0

Event: SRDR_X_9-10
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4954,950,96,97,98,97.5,1.5,0.5,0.5
4955,947,134,134,135,134.0,0.0,0.0,1.0
4957,948,115,115,120,115.0,0.0,0.0,5.0
4958,952,94,92,90,93.0,1.0,1.0,3.0
4959,949,109,115,109,109.0,0.0,6.0,0.0

Event: SRDR_M_11-12
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4956,995,75,77,75,75.0,0.0,2.0,0.0
4957,998,122,123,122,122.0,0.0,1.0,0.0
4958,996,120,120,117,120.0,0.0,0.0,3.0
4959,997,139,141,139,139.0,0.0,2.0,0.0

Event: DDSR-2x30,_F_9-10
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4961,1435,112,112,112,112.0,0.0,0.0,0.0
4961,1808,43,43,42,43.0,0.0,0.0,1.0
4962,1430,141,141,140,141.0,0.0,0.0,1.0
4963,1433,117,117,118,117.0,0.0,0.0,1.0
4964,1436,80,84,80,80.0,0.0,4.0,0.0
4965,1431,82,81,82,82.0,0.0,1.0,0.0
4966,1434,83,82,81,82.5,0.5,0.5,1.5
4967,1432,57,57,58,57.0,0.0,0.0,1.0
4968,1437,58,55,60,59.0,1.0,4.0,1.0

Event: DDSR-2x30,_X_9-10
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4961,1438,140,139,142,139.5,0.5,0.5,2.5
4962,1440,100,99,100,100.0,0.0,1.0,0.0
4963,1442,64,64,67,64.0,0.0,0.0,3.0
4964,1443,48,46,46,46.0,2.0,0.0,0.0
4965,1439,96,96,96,96.0,0.0,0.0,0.0
4969,1806,78,77,78,78.0,0.0,1.0,0.0
4970,1441,73,73,73,73.0,0.0,0.0,0.0

Event: DDSS_F_16+ (allow younger)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4961,1395,200,198,197,197.5,2.5,0.5,0.5
4961,1400,114,107,105,106.0,8.0,1.0,1.0
4962,1407,72,71,71,71.0,1.0,0.0,0.0
4962,1397,142,142,144,142.0,0.0,0.0,2.0
4963,1403,78,78,77,78.0,0.0,0.0,1.0
4963,1401,92,93,99,92.5,0.5,0.5,6.5
4964,1402,109,111,110,110.5,1.5,0.5,0.5
4964,1399,180,182,180,180.0,0.0,2.0,0.0
4965,1415,42,42,42,42.0,0.0,0.0,0.0
4966,1406,128,140,127,127.5,0.5,12.5,0.5
4967,1404,121,119,118,118.5,2.5,0.5,0.5
4968,1398,142,141,140,141.5,0.5,0.5,1.5
4969,1396,188,182,188,188.0,0.0,6.0,0.0
4970,1405,143,144,140,143.5,0.5,0.5,3.5

Event: DDSS_F_12-15
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4961,1358,147,146,146,146.0,1.0,0.0,0.0
4961,1363,55,54,55,55.0,0.0,1.0,0.0
4962,1361,67,66,67,67.0,0.0,1.0,0.0
4962,1366,86,87,86,86.0,0.0,1.0,0.0
4963,1362,139,139,138,139.0,0.0,0.0,1.0
4963,1372,87,87,84,87.0,0.0,0.0,3.0
4964,1370,80,82,79,79.5,0.5,2.5,0.5
4964,1365,113,114,113,113.0,0.0,1.0,0.0
4965,1369,143,143,144,143.0,0.0,0.0,1.0
4965,1356,168,168,168,168.0,0.0,0.0,0.0
4966,1373,71,71,70,71.0,0.0,0.0,1.0
4966,1360,75,67,73,74.0,1.0,7.0,1.0
4967,1375,85,82,83,82.5,2.5,0.5,0.5
4967,1364,89,89,88,89.0,0.0,0.0,1.0
4968,1357,135,130,135,135.0,0.0,5.0,0.0
4968,1367,134,134,132,134.0,0.0,0.0,2.0
4969,1371,99,99,99,99.0,0.0,0.0,0.0
4969,1359,115,114,116,115.5,0.5,1.5,0.5
4970,1368,91,90,88,90.5,0.5,0.5,2.5
4970,1374,70,70,69,70.0,0.0,0.0,1.0

Event: DDSR-2x30,_X_8 and under
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4961,1423,99,99,99,99.0,0.0,0.0,0.0
4962,1424,26,26,25,26.0,0.0,0.0,1.0

Event: SRSS_F_15 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,172,87,87,87,87.0,0.0,0.0,0.0
4992,176,84,85,84,84.0,0.0,1.0,0.0
4993,185,73,73,71,73.0,0.0,0.0,2.0
4993,175,71,71,69,71.0,0.0,0.0,2.0
4994,179,67,67,69,67.0,0.0,0.0,2.0
4994,177,82,82,82,82.0,0.0,0.0,0.0
4995,178,64,64,64,64.0,0.0,0.0,0.0
4995,181,79,79,79,79.0,0.0,0.0,0.0
4996,180,84,84,83,84.0,0.0,0.0,1.0
4996,174,49,50,50,50.0,1.0,0.0,0.0
4997,173,90,91,93,90.5,0.5,0.5,2.5
4998,184,85,86,85,85.0,0.0,1.0,0.0
4999,171,79,79,80,79.0,0.0,0.0,1.0
5000,183,70,72,69,69.5,0.5,2.5,0.5
5001,182,72,73,71,72.5,0.5,0.5,1.5

Event: SRSS_M_14 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,708,63,63,63,63.0,0.0,0.0,0.0
4993,704,67,67,66,67.0,0.0,0.0,1.0
4994,706,83,83,83,83.0,0.0,0.0,0.0
4998,707,74,76,71,75.0,1.0,1.0,4.0
4999,703,67,67,67,67.0,0.0,0.0,0.0
5000,709,70,70,68,70.0,0.0,0.0,2.0
5001,705,76,75,70,75.5,0.5,0.5,5.5

Event: SRSS_F_20-29
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,232,72,72,72,72.0,0.0,0.0,0.0
4993,223,93,93,94,93.0,0.0,0.0,1.0
4994,228,90,90,91,90.0,0.0,0.0,1.0
4994,230,92,91,90,91.5,0.5,0.5,1.5
4995,222,97,97,96,97.0,0.0,0.0,1.0
4996,226,98,98,101,98.0,0.0,0.0,3.0
4998,227,95,96,92,95.5,0.5,0.5,3.5
4999,233,83,83,84,83.0,0.0,0.0,1.0
5000,224,94,94,96,94.0,0.0,0.0,2.0
5001,229,78,76,78,78.0,0.0,2.0,0.0

Event: SRSS_F_14 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,168,85,85,84,85.0,0.0,0.0,1.0
4992,167,83,83,84,83.0,0.0,0.0,1.0
4993,169,70,71,66,70.5,0.5,0.5,4.5
4993,161,78,78,75,78.0,0.0,0.0,3.0
4994,155,86,85,86,86.0,0.0,1.0,0.0
4994,156,86,86,85,86.0,0.0,0.0,1.0
4995,160,75,75,76,75.0,0.0,0.0,1.0
4995,159,78,79,78,78.0,0.0,1.0,0.0
4996,166,92,92,92,92.0,0.0,0.0,0.0
4996,162,86,86,86,86.0,0.0,0.0,0.0
4997,170,55,56,54,55.5,0.5,0.5,1.5
4997,165,77,77,77,77.0,0.0,0.0,0.0
4998,157,70,72,71,71.5,1.5,0.5,0.5
4999,163,76,76,75,76.0,0.0,0.0,1.0
5000,164,84,83,84,84.0,0.0,1.0,0.0
5001,158,56,58,55,55.5,0.5,2.5,0.5

Event: SRSS_M_17-29
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,872,91,91,91,91.0,0.0,0.0,0.0
4993,873,85,85,86,85.0,0.0,0.0,1.0
5001,871,90,90,90,90.0,0.0,0.0,0.0

Event: SRSS_F_12 (S)
StationID,Entry,1,2,3,Calc'd Score,1 Diff,2 Diff,3 Diff
4992,113,79,79,79,79.0,0.0,0.0,0.0
4992,107,56,56,56,56.0,0.0,0.0,0.0
4992,109,37,37,35,37.0,0.0,0.0,2.0
4993,126,53,53,53,53.0,0.0,0.0,0.0
4993,98,51,50,50,50.0,1.0,0.0,0.0
4993,116,69,69,67,69.0,0.0,0.0,2.0
4994,117,75,74,75,75.0,0.0,1.0,0.0
4994,94,61,61,61,61.0,0.0,0.0,0.0
4994,123,62,62,62,62.0,0.0,0.0,0.0
4994,119,63,62,63,63.0,0.0,1.0,0.0
4995,96,39,39,42,39.0,0.0,0.0,3.0
4995,111,66,65,66,66.0,0.0,1.0,0.0
4995,122,62,62,62,62.0,0.0,0.0,0.0
4995,105,55,57,57,57.0,2.0,0.0,0.0
4996,118,48,48,48,48.0,0.0,0.0,0.0
